,Unnamed: 0,iso,language_name,track,location,year,path,filename,length,program,ID,no_segs,segs,segs_0,segs_1,segs_2,segs_3
1640,1640,gdd,Graged,3,"CLTC, PNG",1993.0,Programs/63/63403/A63403/PM-1610/,A63403-003.wav,216.9645,63403,63403_003,True,"{0: 1, 1: 1, 2: 1, 3: 1}",1,1,1,1
1643,1643,gdd,Graged,6,"CLTC, PNG",1993.0,Programs/63/63403/A63403/PM-1610/,A63403-006.wav,239.153188,63403,63403_006,True,"{3: 6, 0: 1, 1: 1, 2: 1}",1,1,1,6
1646,1646,gdd,Graged,9,"CLTC, PNG",1993.0,Programs/63/63403/A63403/PM-1610/,A63403-009.wav,129.993,63403,63403_009,True,"{3: 3, 0: 1, 1: 1, 2: 1}",1,1,1,3
3011,3023,awe,Aweti,1,Brasilia,2015.0,Programs/65/65213/A65213/PM-1605/,A65213-001.wav,53.148194,65213,65213_001,True,"{3: 2, 0: 1, 1: 1, 2: 1}",1,1,1,2
3012,3024,awe,Aweti,2,Brasilia,2015.0,Programs/65/65213/A65213/PM-1605/,A65213-002.wav,71.797167,65213,65213_002,True,"{0: 1, 1: 1, 2: 1, 3: 1}",1,1,1,1
3013,3025,awe,Aweti,3,Brasilia,2015.0,Programs/65/65213/A65213/PM-1605/,A65213-003.wav,102.851083,65213,65213_003,True,"{3: 2, 0: 1, 1: 1, 2: 1}",1,1,1,2
3014,3026,awe,Aweti,4,Brasilia,2015.0,Programs/65/65213/A65213/PM-1605/,A65213-004.wav,86.935583,65213,65213_004,True,"{3: 2, 0: 1, 1: 1, 2: 1}",1,1,1,2
3015,3027,awe,Aweti,5,Brasilia,2015.0,Programs/65/65213/A65213/PM-1605/,A65213-005.wav,169.550292,65213,65213_005,True,"{0: 1, 1: 1, 2: 1, 3: 1}",1,1,1,1
3016,3028,awe,Aweti,6,Brasilia,2015.0,Programs/65/65213/A65213/PM-1605/,A65213-006.wav,66.875194,65213,65213_006,True,"{0: 1, 1: 1, 2: 1, 3: 1}",1,1,1,1
3017,3029,awe,Aweti,7,Brasilia,2015.0,Programs/65/65213/A65213/PM-1605/,A65213-007.wav,125.232236,65213,65213_007,True,"{3: 4, 0: 1, 1: 1, 2: 1}",1,1,1,4
3018,3030,awe,Aweti,8,Brasilia,2015.0,Programs/65/65213/A65213/PM-1605/,A65213-008.wav,109.218,65213,65213_008,True,"{3: 4, 0: 1, 1: 1, 2: 1}",1,1,1,4
3019,3031,awe,Aweti,9,Brasilia,2015.0,Programs/65/65213/A65213/PM-1605/,A65213-009.wav,148.004292,65213,65213_009,True,"{3: 3, 0: 1, 1: 1, 2: 1}",1,1,1,3
3020,3032,awe,Aweti,10,Brasilia,2015.0,Programs/65/65213/A65213/PM-1605/,A65213-010.wav,183.48775,65213,65213_010,True,"{3: 8, 0: 1, 1: 1, 2: 1}",1,1,1,8
