,Unnamed: 0.1,Unnamed: 0,filename,segments,knn_segs,svm_segs,segs_4sec,new_seg_4sec
0,0,100000,Programs/73/73980/A73980/PM-1906/A73980-008.wav,8,18,21,19,8
1,1,100001,Programs/37/37643/A37643/MM/A37643-11.wav,8,17,18,19,6
2,2,100002,Programs/64/64615/A64615/PM-1408/A64615-007.wav,8,18,16,15,6
3,3,100003,Programs/73/73980/A73980/PM-1906/A73980-024.wav,8,19,19,18,17
4,4,100004,Programs/66/66247/A66247/PM-1906/A66247-013.wav,8,16,16,17,11
5,5,100005,Programs/64/64615/A64615/PM-1408/A64615-018.wav,8,15,15,15,2
6,6,100006,Programs/64/64616/A64616/PM-1409/A64616-014.wav,8,13,13,15,4
7,7,100007,Programs/37/37643/A37643/MM/A37643-40.wav,8,15,15,14,7
8,8,100008,vox_grn/Audio_MP3/74/74769/Achik LLL 1 Beginning with GOD 008 Picture 7 The Rainbow and God's Promise 74769.mp3,8,20,21,22,13
9,9,100009,Programs/37/37101/A37101/From_CM/C37101A Region 00_03_32_253 to 00_06_37_829 (02 _ 03).wav,8,30,33,17,7
10,10,100010,Programs/74/74775/A74775/PM-1801/A74775-018.wav,8,25,26,21,6
11,11,100011,Programs/64/64616/A64616/PM-1409/A64616-013.wav,8,14,15,12,4
12,12,100012,Programs/74/74775/A74775/PM-1801/A74775-005.wav,8,15,14,12,3
13,13,100013,Programs/30/30850/A30850/From_CM/A30850-14.wav,8,4,5,6,1
14,14,100014,Programs/38/38107/A38107/PM/A38107-11.wav,8,7,8,4,0
15,15,100015,vox_grn/Audio_MP3/74/74769/Achik LLL 1 Beginning with GOD 017 Picture 16 Abraham Counts the Stars 74769.mp3,8,17,17,17,10
16,16,100016,vox_grn/Audio_MP3/74/74769/Achik LLL 1 Beginning with GOD 013 Picture 12 Job is Restored 74769.mp3,8,24,24,25,13
17,17,100017,vox_grn/Audio_MP3/74/74769/Achik LLL 1 Beginning with GOD 011 Picture 10 Job in Mourning 74769.mp3,8,20,20,17,13
18,18,100018,Programs/35/35400/A35400/PM-1302/A35400-020.wav,8,13,16,14,13
