"Program Set Number","Title","Vernacular Title","Language Number","Prefix","Duration","Recording State","First Set Piece","Picture Set","Picture Filename","Processing State","Process Program State","Entered By","Entered On","Current Version","Major Version"
75093,"Matthew","",2341,"B","208:08","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,29,1
66811,"South Mexico Diagnostic","Sur Diagnostic",52,"A","127:51","Available",1,"","","5: Finished","Process Now","noelbachelor",7/01/2021 1:02:41 AM,8,1
64686,"God's Words For Lost Ones","",3561,"A","  8:36","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,11,1
62946,"Good News","",12227,"A"," 43:50","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,13,1
29960,"Words of Life","",4892,"A"," 49:29","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,15,1
67267,"Good News","",18281,"A"," 46:00","Available",1,"","","5: Finished","Process Now","noelbachelor",17/03/2022 1:34:35 AM,3,1
64137,"Good News","Memahal A Baheta",2317,"A"," 45:13","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,16,1
75333,"Good News","",4237,"C"," 87:00","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,10,1
81794,"LLL 3 Victory through GOD","",3136,"C"," 51:00","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,10,1
4780,"Good News & Words of Life","",4950,"A"," 58:02","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,15,1
21970,"Becoming a Friend of God","",4344,"A"," 58:34","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,12,1
84165,"Good News","",5059,"C","","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,,7
60035,"Good News","",3591,"A"," 48:08","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,16,1
1211,"Words of Life","",2046,"C"," 34:00","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,18,1
4701,"Christmas Messages","",1795,"C"," 39:17","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,12,1
5001,"Words of Life","",380,"C"," 38:00","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,13,1
170,"Words of Life","",2563,"B"," 27:21","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,9,1
431,"Words of Life","",1611,"A"," 39:15","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,13,1
7031,"Words of Life","",2939,"A"," 35:53","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,16,1
81788,"LLL 2 Mighty Men of GOD","",80,"C"," 58:31","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,11,1
73170,"LLL 8 Acts of the HOLY SPIRIT","",1589,"A"," 40:08","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,12,1
7780,"Words of Life","",3180,"A"," 28:43","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,15,1
74568,"LLL 7 JESUS - Lord & Saviour","",4528,"C"," 60:15","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,12,1
22160,"Words of Life","",749,"A"," 20:19","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,10,1
73540,"LLL 3 Victory through GOD","",153,"A"," 58:05","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,17,1
5291,"Words of Life","",1963,"A"," 42:31","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,12,1
82220,"Words of Life for Children","",1589,"A"," 21:27","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,12,1
11,"Words of Life","",2619,"A"," 22:18","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,13,1
16281,"Words of Life","",2218,"C","  7:00","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,15,1
10520,"Good News","",52,"A"," 37:27","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,16,1
22311,"Good News","",38,"C"," 51:52","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,13,1
64787,"Good News","",6680,"A"," 56:53","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,17,1
85302,"LLL 5 On Trial for GOD","",965,"C"," 59:00","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,12,1
80990,"Good News","",5159,"C"," 60:18","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,13,1
62810,"LLL 1 Beginning with GOD","",13213,"A"," 26:25","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,18,1
1331,"Words of Life","",2748,"C"," 20:34","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,18,1
74638,"LLL 1 Beginning with GOD","",4555,"A"," 57:15","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,18,1
23760,"Words of Life","",1355,"C","  6:00","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,16,1
3740,"Words of Life","",991,"A"," 26:01","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,15,1
3751,"Words of Life 1 (M)","",691,"A"," 21:15","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,11,1
4281,"Words of Life","",2990,"A"," 60:27","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,15,1
18601,"Words of Life","",4156,"A"," 42:28","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,16,1
20450,"Words of Life w/ NEPALI","",4271,"C"," 54:33","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,16,1
23581,"Good News","",4372,"C"," 10:00","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,20,1
80253,"Everything Has Its End","",224,"C","","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,,2
60047,"Good News","",3241,"A"," 47:25","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,13,1
210,"Words of Life","",1050,"B"," 27:32","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,11,1
75192,"Words of Life 2","",3362,"C","","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,,1
38027,"70th Anniversary-Then and Now","",25,"B"," 12:38","Special",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,,1
63169,"LLL 3 Victory through GOD","",4228,"A"," 47:47","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,13,1
32360,"Words of Life","",6154,"C"," 41:00","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,12,1
63133,"LLL 1 Beginning with GOD","Allah Yang Mumulai",1647,"A"," 36:10","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,15,1
421,"Words of Life","",1634,"A"," 43:42","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,17,1
30221,"Becoming a Friend of God","",4437,"A"," 58:26","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,15,1
101,"Words of Life","",2683,"B"," 35:14","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,11,2
12591,"Words of Life","",512,"C"," 41:00","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,15,1
7200,"Words of Life","",3169,"C"," 14:34","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,15,1
1030,"Words of Life","",2063,"B"," 26:58","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,14,1
12710,"Words of Life","",1906,"C"," 22:46","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,15,1
1031,"Words of Life","",2064,"B"," 28:42","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,12,1
14341,"Words of Life","",2541,"C","  7:00","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,18,1
940,"Words of Life","",2073,"B"," 42:35","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,10,1
62318,"Good News","",4165,"A"," 58:52","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,15,1
1071,"Words of Life w/ TIV songs","",2107,"B"," 35:29","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,13,1
1260,"Words of Life","",3080,"B"," 39:00","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,9,1
24020,"Words of Life","",4045,"C"," 23:19","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,16,1
1370,"Words of Life","",1338,"B"," 40:59","Available",1,"","","5: Finished","Process Now","robmcdonell",12/05/2017 3:30:37 AM,16,1
