,sens,start,stop,path,file
0,0,0,3990,Programs/03/03110/A03110/From_CM/,C03110A Region 00_13_28_106 to 00_13_42_805 (06 _ 07).wav
1,0,240,4230,Programs/65/65951/A65951/PM-1810/,A65951-009.wav
2,0,240,4230,Programs/65/65951/A65951/PM-1810/,A65951-010.wav
3,0,240,4230,Programs/65/65951/A65951/PM-1810/,A65951-011.wav
4,0,870,4860,Programs/80/80490/A80490/From_CM/,A80490-01.wav
5,0,11010,15000,Programs/80/80490/A80490/From_CM/,A80490-01.wav
6,0,480,4470,Programs/80/80490/A80490/From_CM/,A80490-02.wav
7,0,510,4500,Programs/80/80490/A80490/From_CM/,A80490-03.wav
8,0,720,4710,Programs/80/80490/A80490/From_CM/,A80490-05.wav
9,0,360,4350,Programs/80/80490/A80490/From_CM/,A80490-06.wav
10,0,360,4350,Programs/80/80490/A80490/From_CM/,A80490-08.wav
11,0,660,4650,Programs/80/80490/A80490/From_CM/,A80490-11.wav
12,0,270,4260,Programs/80/80490/A80490/From_CM/,A80490-12.wav
13,0,480,4470,Programs/80/80490/A80490/From_CM/,A80490-14.wav
14,0,270,4260,Programs/80/80490/A80490/From_CM/,A80490-15.wav
15,0,480,4470,Programs/80/80490/A80490/From_CM/,A80490-16.wav
16,0,570,4560,Programs/80/80490/A80490/From_CM/,A80490-19.wav
17,0,45990,49980,Programs/80/80490/A80490/From_CM/,A80490-19.wav
18,0,300,4290,Programs/80/80490/A80490/From_CM/,A80490-26.wav
19,0,510,4500,Programs/80/80490/A80490/From_CM/,A80490-28.wav
20,0,240,4230,Programs/80/80474/A80474/PM-0901/,A80474-11.wav
21,0,17070,21060,Programs/80/80474/A80474/PM-0901/,A80474-11.wav
22,0,24660,28650,Programs/80/80474/A80474/PM-0901/,A80474-11.wav
23,0,31200,35190,Programs/80/80474/A80474/PM-0901/,A80474-11.wav
24,0,37950,41940,Programs/80/80474/A80474/PM-0901/,A80474-11.wav
25,0,48660,52650,Programs/80/80474/A80474/PM-0901/,A80474-11.wav
26,0,58080,62070,Programs/80/80474/A80474/PM-0901/,A80474-11.wav
27,0,65880,69870,Programs/80/80474/A80474/PM-0901/,A80474-11.wav
28,0,72360,76350,Programs/80/80474/A80474/PM-0901/,A80474-11.wav
29,0,80430,84420,Programs/80/80474/A80474/PM-0901/,A80474-11.wav
30,0,91290,95280,Programs/80/80474/A80474/PM-0901/,A80474-11.wav
31,0,102660,106650,Programs/80/80474/A80474/PM-0901/,A80474-11.wav
32,0,107880,111870,Programs/80/80474/A80474/PM-0901/,A80474-11.wav
33,0,115950,119940,Programs/80/80474/A80474/PM-0901/,A80474-11.wav
34,0,129270,133260,Programs/80/80474/A80474/PM-0901/,A80474-11.wav
35,0,0,3990,Programs/80/80474/A80474/PM-0901/,A80474-12.wav
36,0,15510,19500,Programs/80/80474/A80474/PM-0901/,A80474-12.wav
37,0,22950,26940,Programs/80/80474/A80474/PM-0901/,A80474-12.wav
38,0,31050,35040,Programs/80/80474/A80474/PM-0901/,A80474-12.wav
39,0,38850,42840,Programs/80/80474/A80474/PM-0901/,A80474-12.wav
40,0,45750,49740,Programs/80/80474/A80474/PM-0901/,A80474-12.wav
41,0,56400,60390,Programs/80/80474/A80474/PM-0901/,A80474-12.wav
42,0,63480,67470,Programs/80/80474/A80474/PM-0901/,A80474-12.wav
43,0,71070,75060,Programs/80/80474/A80474/PM-0901/,A80474-12.wav
44,0,78600,82590,Programs/80/80474/A80474/PM-0901/,A80474-12.wav
45,0,85860,89850,Programs/80/80474/A80474/PM-0901/,A80474-12.wav
46,0,94170,98160,Programs/80/80474/A80474/PM-0901/,A80474-12.wav
47,0,98700,102690,Programs/80/80474/A80474/PM-0901/,A80474-12.wav
48,0,111360,115350,Programs/80/80474/A80474/PM-0901/,A80474-12.wav
49,0,0,3990,Programs/80/80474/A80474/PM-0901/,A80474-13.wav
50,0,16350,20340,Programs/80/80474/A80474/PM-0901/,A80474-13.wav
51,0,24060,28050,Programs/80/80474/A80474/PM-0901/,A80474-13.wav
52,0,34590,38580,Programs/80/80474/A80474/PM-0901/,A80474-13.wav
53,0,46110,50100,Programs/80/80474/A80474/PM-0901/,A80474-13.wav
54,0,51960,55950,Programs/80/80474/A80474/PM-0901/,A80474-13.wav
55,0,60690,64680,Programs/80/80474/A80474/PM-0901/,A80474-13.wav
56,0,69780,73770,Programs/80/80474/A80474/PM-0901/,A80474-13.wav
57,0,76500,80490,Programs/80/80474/A80474/PM-0901/,A80474-13.wav
58,0,82590,86580,Programs/80/80474/A80474/PM-0901/,A80474-13.wav
59,0,92850,96840,Programs/80/80474/A80474/PM-0901/,A80474-13.wav
60,0,101760,105750,Programs/80/80474/A80474/PM-0901/,A80474-13.wav
61,0,108150,112140,Programs/80/80474/A80474/PM-0901/,A80474-13.wav
62,0,116760,120750,Programs/80/80474/A80474/PM-0901/,A80474-13.wav
63,0,121560,125550,Programs/80/80474/A80474/PM-0901/,A80474-13.wav
64,0,129210,133200,Programs/80/80474/A80474/PM-0901/,A80474-13.wav
65,0,136080,140070,Programs/80/80474/A80474/PM-0901/,A80474-13.wav
66,0,144180,148170,Programs/80/80474/A80474/PM-0901/,A80474-13.wav
67,0,0,3990,Programs/80/80474/A80474/PM-0901/,A80474-14.wav
68,0,15120,19110,Programs/80/80474/A80474/PM-0901/,A80474-14.wav
69,0,25560,29550,Programs/80/80474/A80474/PM-0901/,A80474-14.wav
70,0,36420,40410,Programs/80/80474/A80474/PM-0901/,A80474-14.wav
71,0,43200,47190,Programs/80/80474/A80474/PM-0901/,A80474-14.wav
72,0,49740,53730,Programs/80/80474/A80474/PM-0901/,A80474-14.wav
73,0,60870,64860,Programs/80/80474/A80474/PM-0901/,A80474-14.wav
74,0,68460,72450,Programs/80/80474/A80474/PM-0901/,A80474-14.wav
75,0,79140,83130,Programs/80/80474/A80474/PM-0901/,A80474-14.wav
76,0,86070,90060,Programs/80/80474/A80474/PM-0901/,A80474-14.wav
77,0,95280,99270,Programs/80/80474/A80474/PM-0901/,A80474-14.wav
78,0,108030,112020,Programs/80/80474/A80474/PM-0901/,A80474-14.wav
79,0,117030,121020,Programs/80/80474/A80474/PM-0901/,A80474-14.wav
80,0,129420,133410,Programs/80/80474/A80474/PM-0901/,A80474-14.wav
81,0,137970,141960,Programs/80/80474/A80474/PM-0901/,A80474-14.wav
82,0,0,3990,Programs/80/80474/A80474/PM-0901/,A80474-15.wav
83,0,14220,18210,Programs/80/80474/A80474/PM-0901/,A80474-15.wav
84,0,21150,25140,Programs/80/80474/A80474/PM-0901/,A80474-15.wav
85,0,30900,34890,Programs/80/80474/A80474/PM-0901/,A80474-15.wav
86,0,40140,44130,Programs/80/80474/A80474/PM-0901/,A80474-15.wav
87,0,46590,50580,Programs/80/80474/A80474/PM-0901/,A80474-15.wav
88,0,59040,63030,Programs/80/80474/A80474/PM-0901/,A80474-15.wav
89,0,65730,69720,Programs/80/80474/A80474/PM-0901/,A80474-15.wav
90,0,73170,77160,Programs/80/80474/A80474/PM-0901/,A80474-15.wav
91,0,84210,88200,Programs/80/80474/A80474/PM-0901/,A80474-15.wav
92,0,92610,96600,Programs/80/80474/A80474/PM-0901/,A80474-15.wav
93,0,97230,101220,Programs/80/80474/A80474/PM-0901/,A80474-15.wav
94,0,105030,109020,Programs/80/80474/A80474/PM-0901/,A80474-15.wav
95,0,112950,116940,Programs/80/80474/A80474/PM-0901/,A80474-15.wav
96,0,123960,127950,Programs/80/80474/A80474/PM-0901/,A80474-15.wav
97,0,131910,135900,Programs/80/80474/A80474/PM-0901/,A80474-15.wav
98,0,139230,143220,Programs/80/80474/A80474/PM-0901/,A80474-15.wav
99,0,144720,148710,Programs/80/80474/A80474/PM-0901/,A80474-15.wav
100,0,153600,157590,Programs/80/80474/A80474/PM-0901/,A80474-15.wav
101,0,163410,167400,Programs/80/80474/A80474/PM-0901/,A80474-15.wav
102,0,175320,179310,Programs/80/80474/A80474/PM-0901/,A80474-15.wav
103,0,0,3990,Programs/80/80474/A80474/PM-0901/,A80474-16.wav
104,0,11160,15150,Programs/80/80474/A80474/PM-0901/,A80474-16.wav
105,0,19560,23550,Programs/80/80474/A80474/PM-0901/,A80474-16.wav
106,0,26910,30900,Programs/80/80474/A80474/PM-0901/,A80474-16.wav
107,0,34710,38700,Programs/80/80474/A80474/PM-0901/,A80474-16.wav
108,0,45330,49320,Programs/80/80474/A80474/PM-0901/,A80474-16.wav
109,0,52710,56700,Programs/80/80474/A80474/PM-0901/,A80474-16.wav
110,0,61440,65430,Programs/80/80474/A80474/PM-0901/,A80474-16.wav
111,0,68880,72870,Programs/80/80474/A80474/PM-0901/,A80474-16.wav
112,0,78510,82500,Programs/80/80474/A80474/PM-0901/,A80474-16.wav
113,0,90570,94560,Programs/80/80474/A80474/PM-0901/,A80474-16.wav
114,0,101280,105270,Programs/80/80474/A80474/PM-0901/,A80474-16.wav
115,0,107220,111210,Programs/80/80474/A80474/PM-0901/,A80474-16.wav
116,0,120570,124560,Programs/80/80474/A80474/PM-0901/,A80474-16.wav
117,0,128130,132120,Programs/80/80474/A80474/PM-0901/,A80474-16.wav
118,0,135630,139620,Programs/80/80474/A80474/PM-0901/,A80474-16.wav
119,0,0,3990,Programs/80/80474/A80474/PM-0901/,A80474-17.wav
120,0,15900,19890,Programs/80/80474/A80474/PM-0901/,A80474-17.wav
121,0,21870,25860,Programs/80/80474/A80474/PM-0901/,A80474-17.wav
122,0,29820,33810,Programs/80/80474/A80474/PM-0901/,A80474-17.wav
123,0,36030,40020,Programs/80/80474/A80474/PM-0901/,A80474-17.wav
124,0,43530,47520,Programs/80/80474/A80474/PM-0901/,A80474-17.wav
125,0,52080,56070,Programs/80/80474/A80474/PM-0901/,A80474-17.wav
126,0,64170,68160,Programs/80/80474/A80474/PM-0901/,A80474-17.wav
127,0,75570,79560,Programs/80/80474/A80474/PM-0901/,A80474-17.wav
128,0,84300,88290,Programs/80/80474/A80474/PM-0901/,A80474-17.wav
129,0,90510,94500,Programs/80/80474/A80474/PM-0901/,A80474-17.wav
130,0,97410,101400,Programs/80/80474/A80474/PM-0901/,A80474-17.wav
131,0,104040,108030,Programs/80/80474/A80474/PM-0901/,A80474-17.wav
132,0,111660,115650,Programs/80/80474/A80474/PM-0901/,A80474-17.wav
133,0,0,3990,Programs/80/80474/A80474/PM-0901/,A80474-18.wav
134,0,17940,21930,Programs/80/80474/A80474/PM-0901/,A80474-18.wav
135,0,29790,33780,Programs/80/80474/A80474/PM-0901/,A80474-18.wav
136,0,39450,43440,Programs/80/80474/A80474/PM-0901/,A80474-18.wav
137,0,50250,54240,Programs/80/80474/A80474/PM-0901/,A80474-18.wav
138,0,61470,65460,Programs/80/80474/A80474/PM-0901/,A80474-18.wav
139,0,70620,74610,Programs/80/80474/A80474/PM-0901/,A80474-18.wav
140,0,77340,81330,Programs/80/80474/A80474/PM-0901/,A80474-18.wav
141,0,84840,88830,Programs/80/80474/A80474/PM-0901/,A80474-18.wav
142,0,89970,93960,Programs/80/80474/A80474/PM-0901/,A80474-18.wav
143,0,98700,102690,Programs/80/80474/A80474/PM-0901/,A80474-18.wav
144,0,106200,110190,Programs/80/80474/A80474/PM-0901/,A80474-18.wav
145,0,115050,119040,Programs/80/80474/A80474/PM-0901/,A80474-18.wav
146,0,0,3990,Programs/80/80474/A80474/PM-0901/,A80474-19.wav
147,0,15240,19230,Programs/80/80474/A80474/PM-0901/,A80474-19.wav
148,0,21390,25380,Programs/80/80474/A80474/PM-0901/,A80474-19.wav
149,0,31320,35310,Programs/80/80474/A80474/PM-0901/,A80474-19.wav
150,0,38010,42000,Programs/80/80474/A80474/PM-0901/,A80474-19.wav
151,0,45420,49410,Programs/80/80474/A80474/PM-0901/,A80474-19.wav
152,0,53340,57330,Programs/80/80474/A80474/PM-0901/,A80474-19.wav
153,0,62370,66360,Programs/80/80474/A80474/PM-0901/,A80474-19.wav
154,0,69540,73530,Programs/80/80474/A80474/PM-0901/,A80474-19.wav
155,0,79710,83700,Programs/80/80474/A80474/PM-0901/,A80474-19.wav
156,0,88710,92700,Programs/80/80474/A80474/PM-0901/,A80474-19.wav
157,0,95130,99120,Programs/80/80474/A80474/PM-0901/,A80474-19.wav
158,0,104700,108690,Programs/80/80474/A80474/PM-0901/,A80474-19.wav
159,0,114960,118950,Programs/80/80474/A80474/PM-0901/,A80474-19.wav
160,0,123660,127650,Programs/80/80474/A80474/PM-0901/,A80474-19.wav
161,0,131010,135000,Programs/80/80474/A80474/PM-0901/,A80474-19.wav
162,0,138900,142890,Programs/80/80474/A80474/PM-0901/,A80474-19.wav
163,0,0,3990,Programs/80/80474/A80474/PM-0901/,A80474-20.wav
164,0,11820,15810,Programs/80/80474/A80474/PM-0901/,A80474-20.wav
165,0,16590,20580,Programs/80/80474/A80474/PM-0901/,A80474-20.wav
166,0,24330,28320,Programs/80/80474/A80474/PM-0901/,A80474-20.wav
167,0,32040,36030,Programs/80/80474/A80474/PM-0901/,A80474-20.wav
168,0,39660,43650,Programs/80/80474/A80474/PM-0901/,A80474-20.wav
