,Unnamed: 0.1,Unnamed: 0,filename,segments,knn_segs,svm_segs,segs_4sec,new_seg_4sec
0,0,0,Programs/63/63339/A63339/PM-1003/A63339-01.wav,408,123,140,135,60
1,1,1,Programs/63/63587/A63587/PM-1108/A63587-03.wav,219,45,74,60,16
2,2,2,Programs/35/35770/A35770/From_CM/C35770A(09).wav,200,15,59,35,7
3,3,3,Programs/63/63022/A63022/PM-0903/A63022-01.wav,122,94,98,83,12
4,4,4,Programs/07/07621/A07621/From_CM/C07621A Region 00_00_00_000 to 00_03_16_010 (01 _ 02).wav,119,33,37,38,10
5,5,5,Programs/80/80474/A80474/PM-0901/A80474-20.wav,98,7,19,24,8
6,6,6,Programs/02/02631/A02631/From_CM_au/A02631-12.wav,93,47,50,50,30
7,7,7,Programs/80/80474/A80474/PM-0901/A80474-15.wav,89,6,18,29,9
8,8,8,Programs/01/01901/A01901/From_CM/C01901A-04.wav,86,26,26,22,8
9,9,9,Programs/35/35991/A35991/From_CM/C35991A(7).wav,82,40,36,35,15
10,10,10,Programs/01/01901/A01901/From_CM/C01901A-01.wav,80,0,1,1,0
11,11,11,Programs/80/80474/A80474/PM-0901/A80474-13.wav,77,7,15,18,5
12,12,12,Programs/15/15650/A15650/From_CM/C15650A Region 00_03_32_394 to 00_07_05_.wav,76,0,1,0,0
13,13,13,Programs/25/25981/A25981/From_CM/C25981A(14).wav,75,7,1,0,0
14,14,14,Programs/80/80474/A80474/PM-0901/A80474-19.wav,71,10,18,14,6
15,15,15,Programs/80/80474/A80474/PM-0901/A80474-14.wav,68,9,9,14,3
16,16,16,Programs/80/80474/A80474/PM-0901/A80474-16.wav,67,2,10,15,6
17,17,17,Programs/37/37401/A37401/From_CM/11 back music.wav,64,3,0,0,0
18,18,18,Programs/80/80206/A80206/PM-9608/A80206-12.wav,62,0,0,0,0
19,19,19,Programs/75/75065/A75065/From_CM/A75065-12.wav,61,11,0,0,0
20,20,20,Programs/80/80474/A80474/PM-0901/A80474-11.wav,60,7,11,13,1
21,21,21,Programs/80/80474/A80474/PM-0901/A80474-18.wav,59,9,16,14,7
22,22,22,Programs/80/80474/A80474/PM-0901/A80474-12.wav,58,7,13,16,6
23,23,23,Programs/80/80474/A80474/PM-0901/A80474-17.wav,58,8,13,7,5
24,24,24,Programs/80/80865/A80865/PM-0907/A80865-41.wav,57,0,0,0,0
25,25,25,Programs/62/62612/A62612/PM-0701/A62612-41.wav,57,0,0,0,0
26,26,26,Programs/62/62685/A62685/PM-1304/A62685-041.wav,53,0,0,0,0
27,27,27,Programs/63/63630/A63630/PM-Clone-1108/A63630-041.wav,53,0,0,0,0
28,28,28,Programs/01/01000/A01000/From_CM/C01000A Region 00_16_19_064 to 00_18_22_.wav,51,0,20,18,12
29,29,29,Programs/65/65671/A65671/PM-1710/A65671-025.wav,49,27,28,31,17
30,30,30,Programs/80/80865/A80865/PM-0907/A80865-42.wav,49,0,0,0,0
31,31,31,Programs/66/66718/A66718/PM-2010/A66718-05.wav,48,2,0,0,0
32,32,32,Programs/80/80949/A80949/PM-0401/A80949-17.wav,48,0,0,0,0
33,33,33,Programs/62/62599/A62599/PM-1304/A62599-041.wav,46,0,0,0,0
34,34,34,Programs/26/26090/A26090/From_CM/C26090A Region 00_13_25_205 to 00_16_31_911 (04 _ 05).wav,46,0,0,0,0
35,35,35,Programs/62/62707/A62707/PM0709/A62707-14.wav,46,0,0,0,0
36,36,36,Programs/29/29860/A29860/PM-Clone/A29860-41.wav,45,0,0,0,0
37,37,37,Programs/62/62600/A62600/PM-0701/A62600-41.wav,44,0,0,0,0
38,38,38,Programs/80/80863/A80863/PM-0903/A80863-41.wav,43,0,0,0,0
39,39,39,Programs/62/62707/A62707/PM0709/A62707-01.wav,43,0,0,0,0
40,40,40,Programs/62/62707/A62707/PM0709/A62707-27.wav,43,0,0,0,0
41,41,41,Programs/29/29811/A29811/From_CM/C29811A Region 00_21_58_570 to 00_26_07_965 (06 _ 07).wav,41,0,0,0,0
42,42,42,Programs/04/04350/A04350/From_CM/C04350A Region 00_16_18_218 to 00_19_38_837 (06 _ 07).wav,41,0,0,0,0
43,43,43,Programs/66/66718/A66718/PM-2010/A66718-12.wav,40,1,0,0,0
44,44,44,Programs/66/66718/A66718/PM-2010/A66718-02.wav,40,0,0,0,0
45,45,45,Programs/35/35770/A35770/From_CM/C35770A(04).wav,39,0,4,5,1
46,46,46,Programs/75/75068/A75068/From_CM/A75068-07.wav,39,4,0,0,0
47,47,47,Programs/23/23271/A23271/MM-0812/A23271-26.wav,39,0,0,0,0
48,48,48,Programs/80/80868/A80868/PM-0903/A80868-40.wav,39,0,0,0,0
49,49,49,Programs/80/80950/A80950/PM-1811/A80950-009.wav,38,0,0,0,0
50,50,50,Programs/62/62614/A62614/PM-0706/A62614-41.wav,38,0,0,0,0
51,51,51,Programs/33/33281/A33281/MM/A33281-25.wav,38,0,0,0,0
52,52,52,Programs/62/62840/A62840/PM-1202/A62840-022.wav,37,9,13,10,4
53,53,53,Programs/66/66718/A66718/PM-2010/A66718-10.wav,37,3,0,0,0
54,54,54,Programs/82/82204/A82204/PM-1601/A82204-1601-029.wav,36,0,0,0,0
55,55,55,Programs/62/62595/A62595/PM-0603/A62595-22.wav,36,0,0,0,0
56,56,56,Programs/02/02990/A02990/From_CM/C02990A(13).wav,35,2,7,2,0
57,57,57,Programs/62/62844/A62844/PM-0908/A62844-08.wav,35,16,3,0,0
58,58,58,Programs/62/62844/A62844/PM-0908/A62844-11.wav,35,14,3,0,0
59,59,59,Programs/62/62605/A62605/PM-0610/A62605-25.wav,34,0,0,0,0
60,60,60,Programs/62/62902/A62902/PM0809/A62902-10.wav,34,0,0,0,0
61,61,61,Programs/32/32580/A32580/From_CM/A32580-11.wav,34,0,0,0,0
62,62,62,Programs/62/62844/A62844/PM-0908/A62844-04.wav,34,11,5,0,0
63,63,63,Programs/62/62844/A62844/PM-0908/A62844-15.wav,33,12,4,1,0
64,64,64,Programs/23/23821/A23821/From_CM/C23821B Region 00_24_14_762 to 00_27_26_218 (06 _ 07).wav,33,0,0,0,0
65,65,65,Programs/65/65273/A65273/PM-1609/A65273-033.wav,33,11,12,11,5
66,66,66,Programs/23/23271/A23271/MM-0812/A23271-28.wav,33,0,0,0,0
67,67,67,Programs/80/80206/A80206/PM-9608/A80206-15.wav,32,0,0,0,0
68,68,68,Programs/80/80206/A80206/PM-9608/A80206-13.wav,32,0,0,0,0
69,69,69,Programs/62/62595/A62595/PM-0603/A62595-44.wav,32,0,0,0,0
70,70,70,Programs/66/66718/A66718/PM-2010/A66718-08.wav,31,0,0,0,0
71,71,71,Programs/80/80206/A80206/PM-9608/A80206-18.wav,30,0,0,0,0
72,72,72,Programs/62/62921/A62921/PM-2005/A62921-045.wav,29,13,1,0,0
73,73,73,Programs/65/65479/A65479/PM-1703-24bit/A65479-026.wav,29,2,1,1,0
74,74,74,Programs/26/26080/A26080/PM-Copy-1004/A26080-05.wav,29,0,0,0,0
75,75,75,Programs/80/80206/A80206/PM-9608/A80206-14.wav,29,0,0,0,0
76,76,76,Programs/62/62844/A62844/PM-0908/A62844-02.wav,29,8,2,0,0
77,77,77,Programs/65/65480/A65480/PM-1703-24bit/A65480-026.wav,29,0,0,0,0
78,78,78,Programs/62/62844/A62844/PM-0908/A62844-06.wav,29,4,1,0,0
79,79,79,Programs/65/65481/A65481/PM-1703-24bit/A65481-026.wav,29,1,1,0,0
80,80,80,Programs/65/65478/A65478/PM-1703-24bit/A65478-026.wav,28,2,1,1,0
81,81,81,Programs/63/63024/A63024/PM-0903/A63024-01.wav,28,32,25,22,3
82,82,82,Programs/62/62844/A62844/PM-0908/A62844-09.wav,28,8,1,0,0
83,83,83,Programs/62/62844/A62844/PM-0908/A62844-13.wav,28,8,2,0,0
84,84,84,Programs/29/29801/A29801/PM-Clone-1212/A29801-007.wav,28,5,0,0,0
85,85,85,Programs/37/37660/A37660/PM-1804/A37660-043.wav,28,2,2,0,0
86,86,86,Programs/65/65477/A65477/PM-1703-24bit/A65477-026.wav,27,1,1,0,0
87,87,87,Programs/75/75202/A75202/PM-1003/A75202-50.wav,27,0,0,0,0
88,88,88,Programs/23/23271/A23271/MM-0812/A23271-24.wav,27,12,9,7,1
89,89,89,Programs/33/33831/A33831/From_CM/C33831A(01).wav,27,3,1,1,0
90,90,90,Programs/75/75066/A75066/From_CM/A75066-05.wav,27,3,0,0,0
91,91,91,Programs/80/80636/A80636/From_CM/C80636A Region 00_14_02_837 to 00_15_16_437 (14 _ 15).wav,26,10,10,11,5
