,Unnamed: 0.1,Unnamed: 0,filename,segments,knn_segs,svm_segs,segs_4sec,new_seg_4sec
0,0,190182,Programs/75/75387/A75387/PM-1501/A75387-024.wav,1,3,9,9,5
1,1,190183,Programs/64/64106/A64106/PM-MM-1305/A64106-24.wav,1,2,3,2,0
2,2,190184,Programs/66/66233/A66233/PM-1905/A66233-006.wav,1,16,17,13,11
3,3,190185,Programs/66/66233/A66233/PM-1905/A66233-009.wav,1,8,8,7,6
4,4,190186,Programs/80/80994/A80994/PM/A80994-05_Potret_05.wav,1,0,1,4,0
5,5,190187,Programs/80/80103/A80103/PM/A80103-10.wav,1,7,11,12,7
6,6,190188,Programs/64/64020/A64020/PM-1302/A64020-35.wav,1,5,7,3,2
7,7,190189,Programs/66/66149/A66149/PM-1811/A66149-16-Rup_15.wav,1,0,3,2,1
8,8,190190,Programs/64/64020/A64020/PM-1302/A64020-39.wav,1,8,9,4,3
9,9,190191,Programs/66/66004/A66004/PM-1903/A66004-006.wav,1,20,5,0,0
10,10,190192,Programs/62/62039/A62039/PM-1506/A62039-002.wav,1,38,38,39,22
11,11,190193,Programs/63/63327/A63327/PM-1011/A63327-16.wav,1,2,7,6,1
12,12,190194,Programs/63/63327/A63327/PM-1011/A63327-14.wav,1,3,6,5,0
13,13,190195,Programs/65/65291/A65291/PM-1608/A65291-04 Pic3 Borana Sakuye LLL5.WAV,1,13,13,12,11
14,14,190196,Programs/64/64051/A64051/PM-1303/A64051-08.wav,1,6,2,0,0
15,15,190197,Programs/80/80641/A80641/From_CM/C80641A Region 00_00_20_085 to 00_00_39_743 (02 _ 03).wav,1,4,4,5,2
16,16,190198,Programs/64/64051/A64051/PM-1303/A64051-01.wav,1,0,0,0,0
17,17,190199,Programs/64/64573/A64573/PM-1408/A64573-033.wav,1,6,4,1,0
18,18,190200,Programs/63/63028/A63028/PM-0903/A63028-01.wav,1,18,15,15,3
19,19,190201,Programs/19/19060/A19060/PM-1809/A19060-027.wav,1,4,5,2,2
20,20,190202,Programs/63/63028/A63028/PM-0903/A63028-02.wav,1,19,17,17,5
21,21,190203,Programs/63/63028/A63028/PM-0903/A63028-03.wav,1,20,19,17,5
22,22,190204,Programs/64/64573/A64573/PM-1408/A64573-008.wav,1,11,10,3,0
23,23,190205,Programs/66/66004/A66004/PM-1903/A66004-001.wav,1,11,0,0,0
24,24,190206,Programs/63/63028/A63028/PM-0903/A63028-12.wav,1,27,27,20,5
25,25,190207,Programs/28/28920/A28920/MM/A28920-11.wav,1,5,3,1,1
26,26,190208,Programs/64/64324/A64324/PM-1311/A64324-06.wav,1,15,15,9,5
27,27,190209,Programs/62/62039/A62039/PM-1506/A62039-009.wav,1,0,0,0,0
28,28,190210,Programs/12/12030/A12030/From_CM/C12030A Region 00_00_00_000 to 00_01_31_178 (01 _ 02).wav,1,4,5,4,2
29,29,190211,Programs/64/64275/A64275/PM-1003/A64275-041.wav,1,6,9,9,8
30,30,190212,Programs/12/12030/A12030/From_CM/C12030A Region 00_04_40_832 to 00_06_14_943 (03 _ 04).wav,1,3,1,0,0
31,31,190213,Programs/64/64275/A64275/PM-1003/A64275-032.wav,1,9,9,9,6
32,32,190214,Programs/32/32970/A32970/MM/A32970-19.wav,1,8,9,9,3
33,33,190215,Programs/01/01911/A01911/From_CM/C01911B-03.wav,1,3,9,2,0
34,34,190216,Programs/64/64126/A64126/PM-0912/A64126-07.wav,1,8,9,0,0
35,35,190217,Programs/19/19060/A19060/PM-1809/A19060-037.wav,1,7,8,5,1
36,36,190218,Programs/64/64275/A64275/PM-1003/A64275-031.wav,1,3,4,5,5
37,37,190219,Programs/64/64270/A64270/PM-1311-24bit/A64270-010.wav,1,7,7,3,0
38,38,190220,Programs/80/80639/A80639/PM-1308/A80639-002.wav,1,3,4,3,2
39,39,190221,Programs/63/63782/A63782/PM-1109/A63782-02.wav,1,5,5,5,5
40,40,190222,Programs/19/19060/A19060/PM-1809/A19060-008.wav,1,4,5,4,1
41,41,190223,Programs/65/65292/A65292/PM-1608/A65292-24 Pic 23 Borana Sakuye LLL6.WAV,1,7,7,7,6
42,42,190224,Programs/64/64270/A64270/PM-1311-24bit/A64270-017.wav,1,6,6,3,2
43,43,190225,Programs/64/64126/A64126/PM-0912/A64126-14.wav,1,37,19,9,0
44,44,190226,Programs/65/65291/A65291/PM-1608/A65291-07 Pic6 Borana Sakuye LLL5.WAV,1,16,17,16,15
45,45,190227,Programs/64/64275/A64275/PM-1003/A64275-026.wav,1,5,5,5,3
46,46,190228,Programs/19/19060/A19060/PM-1809/A19060-032.wav,1,10,10,6,4
47,47,190229,Programs/65/65291/A65291/PM-1608/A65291-05 Pic4 Borana Sakuye LLL5.WAV,1,13,13,13,12
48,48,190230,Programs/64/64324/A64324/PM-1311/A64324-05.wav,1,15,14,14,3
49,49,190231,Programs/38/38221/A38221/PM/A38221-12.wav,1,3,3,5,1
50,50,190232,Programs/80/80641/A80641/From_CM/C80641B Region 00_00_15_829 to 00_00_33_941 (02 _ 03).wav,1,4,4,3,0
51,51,190233,Programs/64/64324/A64324/PM-1311/A64324-03.wav,1,16,16,10,5
52,52,190234,Programs/74/74683/A74683/PM-Copy_from_cas_pm/A74683-43.wav,1,0,0,0,0
53,53,190235,Programs/62/62596/A62596/PM-0808/A62596-15.wav,1,7,8,5,1
54,54,190236,Programs/63/63027/A63027/PM-0903/A63027-32.wav,1,12,10,9,4
55,55,190237,Programs/62/62596/A62596/PM-0808/A62596-14.wav,1,6,8,5,2
56,56,190238,Programs/15/15581/A15581/MM/A15581-08.wav,1,1,0,1,0
57,57,190239,Programs/65/65287/A65287/PM-1608/A65287-012.wav,1,4,4,4,4
58,58,190240,Programs/15/15581/A15581/MM/A15581-05.wav,1,1,3,3,2
59,59,190241,Programs/62/62596/A62596/PM-0808/A62596-02.wav,1,4,5,2,0
60,60,190242,Programs/63/63382/A63382/PM-1211/A63382-027.wav,1,0,0,0,0
